,id,object_name,chain,object_type,address,number,street,district
6490,125308,кафе,нет,кафе,"город Москва, проспект Вернадского, дом 6",10, проспект Вернадского,район Раменки
6491,125310,каро,да,кафе,"город Москва, проспект Вернадского, дом 6",9, проспект Вернадского,район Раменки
6492,69327,пиццерия,нет,предприятие быстрого обслуживания,"город Москва, проспект Вернадского, дом 6",46, проспект Вернадского,район Раменки
6493,129969,хинкальная,да,ресторан,"город Москва, проспект Вернадского, дом 6",74, проспект Вернадского,район Раменки
6494,68992,кафе «вьет кафе»,нет,предприятие быстрого обслуживания,"город Москва, проспект Вернадского, дом 6",20, проспект Вернадского,район Раменки
6553,157018,пекарня волконский,нет,кафе,"город Москва, Кутузовский проспект, дом 36, строение 10",15, Кутузовский проспект,район Дорогомилово
6566,153543,drake,нет,ресторан,"город Москва, Кутузовский проспект, дом 12, строение 1",60, Кутузовский проспект,район Дорогомилово
6567,137448,сыроварня,нет,ресторан,"город Москва, Кутузовский проспект, дом 12, строение 1",96, Кутузовский проспект,район Дорогомилово
6568,144968,the 12 wine bar,нет,ресторан,"город Москва, Кутузовский проспект, дом 12, строение 1",42, Кутузовский проспект,район Дорогомилово
6569,147847,новые формы,нет,ресторан,"город Москва, Кутузовский проспект, дом 12, строение 3",35, Кутузовский проспект,район Дорогомилово
6570,152684,нофар,нет,ресторан,"город Москва, Кутузовский проспект, дом 12, строение 3",100, Кутузовский проспект,район Дорогомилово
6621,28536,концерн радиостроения вега,нет,столовая,"город Москва, Кутузовский проспект, дом 34",50, Кутузовский проспект,район Дорогомилово
6683,19654,бар,нет,бар,"город Москва, Кутузовский проспект, дом 48",40, Кутузовский проспект,район Фили-Давыдково
6684,20045,белучи,нет,ресторан,"город Москва, Кутузовский проспект, дом 48",40, Кутузовский проспект,район Фили-Давыдково
6685,20136,найскафе,нет,кафе,"город Москва, Кутузовский проспект, дом 48",98, Кутузовский проспект,район Фили-Давыдково
6686,84040,сенси кафе,нет,кафе,"город Москва, Кутузовский проспект, дом 48",40, Кутузовский проспект,район Фили-Давыдково
6687,84041,спеттаколо,нет,ресторан,"город Москва, Кутузовский проспект, дом 48",98, Кутузовский проспект,район Фили-Давыдково
6688,84042,сливки,нет,ресторан,"город Москва, Кутузовский проспект, дом 48",35, Кутузовский проспект,район Фили-Давыдково
6689,84060,вивальди,нет,ресторан,"город Москва, Кутузовский проспект, дом 48",30, Кутузовский проспект,район Фили-Давыдково
6690,22902,кап-ферра,нет,ресторан,"город Москва, Кутузовский проспект, дом 48",92, Кутузовский проспект,район Фили-Давыдково
6691,22855,облака,нет,ресторан,"город Москва, Кутузовский проспект, дом 48",96, Кутузовский проспект,район Фили-Давыдково
6692,140386,ribambelle,нет,ресторан,"город Москва, Кутузовский проспект, дом 48",96, Кутузовский проспект,район Фили-Давыдково
6693,23994,шоколадница,да,ресторан,"город Москва, Кутузовский проспект, дом 24, сооружение 1",90, Кутузовский проспект,район Дорогомилово
6725,135854,grammy s,нет,ресторан,"город Москва, Кутузовский проспект, дом 2/1, строение 6",100, Кутузовский проспект,район Дорогомилово
6726,135839,тоторо,нет,ресторан,"город Москва, Кутузовский проспект, дом 2/1, строение 6",120, Кутузовский проспект,район Дорогомилово
6727,108671,эрвин,нет,ресторан,"город Москва, Кутузовский проспект, дом 2/1, строение 6",150, Кутузовский проспект,район Дорогомилово
6728,119885,марани,нет,ресторан,"город Москва, Кутузовский проспект, дом 2/1, строение 6",154, Кутузовский проспект,район Дорогомилово
6729,79661,иль форно,да,ресторан,"город Москва, Кутузовский проспект, дом 2/1, строение 6",98, Кутузовский проспект,район Дорогомилово
6730,80943,солюкс клаб,нет,ресторан,"город Москва, Кутузовский проспект, дом 2/1, строение 6",160, Кутузовский проспект,район Дорогомилово
6731,80944,amarsi,нет,ресторан,"город Москва, Кутузовский проспект, дом 2/1, строение 6",134, Кутузовский проспект,район Дорогомилово
6732,80971,кафе 2,нет,кафе,"город Москва, Кутузовский проспект, дом 2/1, строение 6",50, Кутузовский проспект,район Дорогомилово
6733,80972,latinos,нет,кафе,"город Москва, Кутузовский проспект, дом 2/1, строение 6",60, Кутузовский проспект,район Дорогомилово
6734,80973,матрешка,нет,ресторан,"город Москва, Кутузовский проспект, дом 2/1, строение 6",86, Кутузовский проспект,район Дорогомилово
6735,80974,шеф,нет,ресторан,"город Москва, Кутузовский проспект, дом 2/1, строение 6",255, Кутузовский проспект,район Дорогомилово
6919,140354,stone crab,нет,ресторан,"город Москва, Ленинградский проспект, дом 15, строение 1",86, Ленинградский проспект,район Беговой
6920,140672,карте бланж,нет,столовая,"город Москва, Ленинградский проспект, дом 15, строение 2",85, Ленинградский проспект,район Беговой
6994,27700,мандарин,нет,кафе,"город Москва, Ленинградский проспект, дом 80, корпус 17",47, Ленинградский проспект,район Сокол
6996,29183,столовая академии федеральной пограничной службы россии,нет,столовая,"город Москва, Ленинградский проспект, дом 3, строение 1",90, Ленинградский проспект,район Беговой
6997,59032,андерсон,да,кафе,"город Москва, Ленинградский проспект, дом 74, строение 8",45, Ленинградский проспект,район Аэропорт
7002,83187,экспериментариум кафе,нет,кафе,"город Москва, Ленинградский проспект, дом 80, корпус 11",90, Ленинградский проспект,район Сокол
7021,25432,vместо sushi,нет,кафе,"город Москва, Ленинградский проспект, дом 76А",83, Ленинградский проспект,район Аэропорт
7035,87660,теремок,да,кафе,"город Москва, Ленинградский проспект, дом 62А",12, Ленинградский проспект,Не определен
7036,87664,иль патио,да,ресторан,"город Москва, Ленинградский проспект, дом 62А",60, Ленинградский проспект,Не определен
7038,153110,шашлычный дворик,нет,столовая,"город Москва, Ленинградский проспект, дом 39, строение 73",25, Ленинградский проспект,Хорошёвский район
7041,25225,кафе-бистро солоха,нет,кафе,"город Москва, Ленинградский проспект, дом 37Б",20, Ленинградский проспект,Хорошёвский район
7049,83813,ленинград,нет,ресторан,"город Москва, Ленинградский проспект, дом 24А, строение 4",60, Ленинградский проспект,район Беговой
